pair,dof,chi2_obs,V_obs,perm_p_chi2,perm_p_V,boot_V_lo,boot_V_hi,boot_chi2_lo,boot_chi2_hi,perm_shuffled_side,perm_dist_csv,boot_dist_csv
stakeholder_raw × harm,84,1221.4347610901386,0.42294936916456627,0.000999000999000999,0.000999000999000999,0.43178846147126126,0.5024861781007188,1213.2584098657985,1766.0830096944508,harm,C:\Users\Sofia\PycharmProjects\FATES\tables\resampling\perm__stakeholder_raw__harm__dist.csv,C:\Users\Sofia\PycharmProjects\FATES\tables\resampling\boot__stakeholder_raw__harm__dist.csv
domain × harm,14,83.78933374190889,0.2713458835608221,0.3756243756243756,0.3756243756243756,0.2326248192619966,0.44685047518352433,60.25925320905088,230.69525423461783,harm,C:\Users\Sofia\PycharmProjects\FATES\tables\resampling\perm__domain__harm__dist.csv,C:\Users\Sofia\PycharmProjects\FATES\tables\resampling\boot__domain__harm__dist.csv
bias_type × harm,56,61.503418343537675,0.11623809947547303,1.0,1.0,0.21290394263760823,0.3091694431503164,205.80885277955696,441.516626717887,harm,C:\Users\Sofia\PycharmProjects\FATES\tables\resampling\perm__bias_type__harm__dist.csv,C:\Users\Sofia\PycharmProjects\FATES\tables\resampling\boot__bias_type__harm__dist.csv
stakeholder_raw × bias_type,24,31.355991672126564,0.08299637867696409,1.0,1.0,0.1375073946379776,0.23347335632867622,85.60588574695504,251.98194041033773,stakeholder_raw,C:\Users\Sofia\PycharmProjects\FATES\tables\resampling\perm__stakeholder_raw__bias_type__dist.csv,C:\Users\Sofia\PycharmProjects\FATES\tables\resampling\boot__stakeholder_raw__bias_type__dist.csv
domain × bias_type,4,3.062967770197794,0.05188001374502857,0.972027972027972,0.972027972027972,0.05343714425505428,0.24803775042993223,3.269058592870124,70.4090678348901,bias_type,C:\Users\Sofia\PycharmProjects\FATES\tables\resampling\perm__domain__bias_type__dist.csv,C:\Users\Sofia\PycharmProjects\FATES\tables\resampling\boot__domain__bias_type__dist.csv
